## B|1861-1899|nobody:explained-as-uncovered-role count=8096
  frus1871/d225 1871-06-05 head/from name='Mr. Moran' | head='Mr. Moran to Mr. Fish' | chap=Great Britain. united-kingdom d.Despatches | pocom=nobody | rule=[] 
## B|1861-1899|one:CONTRADICTED-holder-in-no-post-on-date count=904
  frus1865p3/d343 1865-02-09 head/from name='Mr. Bigelow' | head='Mr. Bigelow to Mr. Seward' | chap=Mexico. mexico d.Despatches | pocom=one John Bigelow | rule=[] []
  frus1865p2/d590 1865-02-01 enclosure/to name='Mr. Bigelow' | head='Mr. Perry to Mr. Seward' | chap=Spain. spain d.Despatches | pocom=one John Bigelow | rule=[] []
  frus1898/d843 1898-11-22 head/to name='Day' | head='Mr. Hay to Mr. Day .' | chap=Spain spain d.Instructions,notesToFM | pocom=one William Rufus Day | rule=[] []
  frus1865p1/d233 1865-05-22 head/from name='Mr. Hunter' | head='Mr. Hunter to Mr. Adams' | chap=Great Britain. united-kingdom d.Instructions,notesToFM | pocom=one William Hunter | rule=[] []
  frus1898/d835 1898-11-15 head/from name='Moore' | head='Mr. Moore to Mr. Hay .' | chap=Spain spain d.Despatches | pocom=one John Bassett Moore | rule=[] []
  frus1875v01/d189 1875-06-14 enclosure/from name='Seward' | head='No. 185. Mr. Seward to Mr. Cadwalader .' | chap=China. china consularDespatches | pocom=one George Frederick Seward | rule=[] []
  frus1865p4/d814 1865-04-17 head/to name='Hunter' | head='Mr. de Figaniere to Mr. Hunter .' | chap=Portugal portugal d.Despatches | pocom=one William Hunter | rule=[] []
  frus1866p1/d406 1866-08-15 head/to name='Mr. Williams' | head='Mr. Seward to Mr. Williams' | chap=China. china d.Instructions,notesToFM | pocom=one Alpheus Starkey Williams | rule=[] []
  frus1890/d90 1891-09-10 head/from name='Mizner' | head='Mr. Mizner to Mr. Blaine .' | chap=Central America. guatemala,honduras,el-salvador,costa-rica,nicaragua d.Despatches | pocom=one Lansing Bond Mizner | rule=[] []
  frus1866p1/d399 1866-06-12 enclosure/from name='Mr. Williams' | head='Mr. Williams to Mr. Seward' | chap=China. china d.Despatches | pocom=one Alpheus Starkey Williams | rule=[] []
## B|1861-1899|one:CONTRADICTED-holder-in-other-post count=1184
  frus1892/d364 1890-11-12 enclosure/to name='Stevens' | head='Mr. Blaine to Mr. Newberry .' | chap=Spain spain d.Instructions,notesToFM | pocom=one John Leavitt Stevens | rule=[] ['chief:hawaii']
  frus1874/d814 1874-11-06 head/from name='Russell' | head='No. 811. Mr. Russell to Mr. Fish .' | chap=Spain. spain d.Despatches | pocom=one Thomas Russell | rule=[] ['chief:venezuela']
  frus1865p3/d416 1865-11-24 head/from name='Mr. Bigelow' | head='Mr. Bigelow to Mr. Seward' | chap=Mexico. mexico d.Despatches | pocom=one John Bigelow | rule=[] ['chief:france']
  frus1894app2/d256 1893-05-06 enclosure/to name='Stevens' | head='Mr. Blount to Mr. Gresham .' | chap=  d.Despatches | pocom=one John Leavitt Stevens | rule=[] ['chief:hawaii']
  frus1898/d897 1898-06-07 head/from name='Hay' | head='Mr. Hay to Mr. Day .' | chap=Spain spain d.Despatches | pocom=one John Milton Hay | rule=[] ['chief:united-kingdom']
  frus1898/d738 1898-05-05 head/from name='Rockhill' | head='Mr. Rockhill to Mr. Sherman .' | chap=Spain spain d.Despatches | pocom=one William Woodville Rockhill | rule=[] ['chief:greece', 'chief:romania', 'chief:serbia']
  frus1872p2v2/d209 1872-05-30 enclosure/to name='Schenck' | head='No. 74. General Schenck to Mr. Fish .' | chap=  d.Despatches | pocom=one Robert Cumming Schenck | rule=[] ['chief:united-kingdom']
  frus1874/d795 1874-01-24 head/from name='Beardsley' | head='No. 792. Mr. Beardsley to Mr. Fish .' | chap=Spain. spain d.Despatches | pocom=one Richard Beardsley | rule=[] ['chief:egypt']
  frus1894/d357 1894-08-27 enclosure/from name='Willis' | head='Mr. Willis to Mr. Gresham .' | chap=  d.Despatches | pocom=one Albert Shelby Willis | rule=[] ['chief:hawaii']
  frus1894Nicaragua/d66 1894-07-05 enclosure/from name='Baker' | head='No. 66. Mr. Guzman to Mr. Gresham .' | chap=  notesFromFM | pocom=one Lewis Baker | rule=[] ['chief:costa-rica', 'chief:el-salvador', 'chief:nicaragua']
## B|1861-1899|one:CONTRADICTED-within-180d-of-hypothesised-post count=372
  frus1881/d575 1881-10-04 enclosure/to name='Hurlbut' | head='No. 571. Mr. Hurlbut to Mr. Blaine .' | chap=Peru peru d.Despatches | pocom=one Stephen Augustus Hurlbut | rule=[] []
  frus1872p2v2/d134 1871-12-15 enclosure/from name='Davis' | head='No. 5. Mr. Davis to Mr. Fish .' | chap=  d.Despatches | pocom=one John Chandler Bancroft Davis | rule=[] []
  frus1865p2/d353 1865-02-07 head/to name='Mr. Bigelow' | head='Mr. Seward to Mr. Bigelow' | chap=France. france d.Instructions,notesToFM | pocom=one John Bigelow | rule=[] []
  frus1896/d113 1895-01-22 head/to name='Olney' | head='Mr. Eustis to Mr. Olney .' | chap=France france d.Despatches | pocom=one Richard Olney | rule=[] []
  frus1887/d397 1887-10-22 enclosure/to name='Porter' | head='No. 397. Mr. Bayard to Mr. Stallo .' | chap=Italy italy d.Instructions,notesToFM | pocom=one James Davis Porter | rule=[] []
  frus1893/d583 1893-03-01 head/to name='Foster' | head='Mr. Thompson to Mr. Foster .' | chap=Turkey turkey d.Despatches | pocom=one John Watson Foster | rule=[] []
  frus1898/d1140 1898-10-14 head/to name='Day' | head='Mr. Finch to Mr. Day .' | chap=Uruguay uruguay d.Despatches | pocom=one William Rufus Day | rule=[] []
  frus1893/d300 1893-05-27 enclosure/to name='Coolidge' | head='Mr. Eustis to Mr. Gresham .' | chap=France france d.Despatches | pocom=one Thomas Jefferson Coolidge | rule=[] []
  frus1868p2/d404 1868-12-10 enclosure/from name='Rear-Admiral Davis' | head='Señor Palacios to Mr. Seward .' | chap=Paraguay. paraguay d.Despatches | pocom=one John Chandler Bancroft Davis | rule=[] []
  frus1872p1/d382 1872-07-22 head/to name='Curtin' | head='No. 383. Mr. Fish to Mr. Curtin .' | chap=Russia. russia d.Instructions,notesToFM | pocom=one Andrew Gregg Curtin | rule=[] []
## B|1861-1899|one:corroborated(chief) count=21490
  frus1881/d158 1881-04-30 enclosure/to name='Angell' | head='No. 158. Mr. Angell to Mr. Blaine .' | chap=China china d.Despatches | pocom=one James Burrill Angell | rule=['James Burrill Angell'] 
  frus1875v01/d248 1875-04-26 head/from name='Davis' | head='No. 244. Mr. Davis to Mr. Fish .' | chap=Germany. germany d.Despatches | pocom=one John Chandler Bancroft Davis | rule=['John Chandler Bancroft Davis'] 
  frus1863p2/d577 1863-11-16 head/to name='Mr. Dayton.' | head='Mr. Seward to Mr. Dayton.' | chap=France. france d.Instructions,notesToFM | pocom=one William Lewis Dayton | rule=['William Lewis Dayton'] 
  frus1895p2/d519 1895-01-10 enclosure/to name='Terrell' | head='Mr. Terrell to Mr. Gresham .' | chap=Turkey turkey d.Despatches | pocom=one Alexander Watkins Terrell | rule=['Alexander Watkins Terrell'] 
  frus1885/d400 1885-02-11 head/to name='Bingham' | head='Mr. Frelinghuysen to Mr. Bingham .' | chap=Japan japan d.Instructions,notesToFM | pocom=one John Armour Bingham | rule=['John Armour Bingham'] 
  frus1891/d234 1891-11-16 head/from name='Egan' | head='Mr. Egan to Mr. Blaine .' | chap=Chile chile d.Despatches | pocom=one Patrick Egan | rule=['Patrick Egan'] 
  frus1889/d326 1888-12-03 head/from name='Straus' | head='Mr. Straus to Mr. Bayard .' | chap=Turkey turkey d.Despatches | pocom=one Oscar Solomon Straus | rule=['Oscar Solomon Straus'] 
  frus1872p1/d292 1872-02-26 head/from name='Nelson' | head='No. 292. Mr. Nelson to Mr. Fish .' | chap=Mexico. mexico d.Despatches | pocom=one Thomas Henry Nelson | rule=['Thomas Henry Nelson'] 
  frus1875v01/d155 1875-03-31 enclosure/to name='Avery' | head='No. 151. Mr. Avery to Mr. Fish .' | chap=China. china d.Despatches | pocom=one Benjamin Parke Avery | rule=['Benjamin Parke Avery'] 
  frus1881/d315 1881-03-12 enclosure/from name='Lowell' | head='No. 311. Mr. Lowell to Mr. Blaine .' | chap=Great Britain united-kingdom d.Despatches | pocom=one James Russell Lowell | rule=['James Russell Lowell'] 
## B|1861-1899|one:corroborated(dept-tier1) count=17428
  frus1893/d108 1893-12-31 head/to name='Gresham' | head='Mr. Thompson to Mr. Gresham .' | chap=Brazil brazil d.Despatches | pocom=one Walter Quintin Gresham | rule=['Walter Quintin Gresham'] 
  frus1888p2/d9 1888-03-18 head/to name='Bayard' | head='No. 722. Baron de Fava to Mr. Bayard .' | chap=Italy italy notesFromFM | pocom=one Thomas Francis Bayard | rule=['Thomas Francis Bayard'] 
  frus1874/d634 1873-11-19 head/to name='Fish' | head='No. 632. General Sickles to Mr. Fish .' | chap=Spain. spain d.Despatches | pocom=one Hamilton Fish | rule=['Hamilton Fish'] 
  frus1895p1/d21 1895-02-14 head/from name='Gresham' | head='Mr. Gresham to Mr. Le Ghait .' | chap=Belgium belgium d.Instructions,notesToFM | pocom=one Walter Quintin Gresham | rule=['Walter Quintin Gresham'] 
  frus1898/d969 1898-02-17 head/to name='Sherman' | head='Mr. Woodford to Mr. Sherman .' | chap=Spain spain d.Despatches | pocom=one John Sherman | rule=['John Sherman'] 
  frus1897/d477 1897-02-11 head/to name='Olney' | head='Mr. Taylor to Mr. Olney .' | chap=Spain spain d.Despatches | pocom=one Richard Olney | rule=['Richard Olney'] 
  frus1887/d273 1886-04-16 head/to name='Bayard' | head='No. 273. Mr. Pendleton to Mr. Bayard .' | chap=Germany germany d.Despatches | pocom=one Thomas Francis Bayard | rule=['Thomas Francis Bayard'] 
  frus1888p1/d604 1887-09-19 head/to name='Bayard' | head='No. 604. Mr. Merrill to Mr. Bayard .' | chap=Hawaii hawaii d.Despatches | pocom=one Thomas Francis Bayard | rule=['Thomas Francis Bayard'] 
  frus1893/d269 1893-08-08 head/to name='Gresham' | head='Mr. Tsui Kwo Yin to Mr. Gresham .' | chap=China china notesFromFM | pocom=one Walter Quintin Gresham | rule=['Walter Quintin Gresham'] 
  frus1894/d51 1894-04-25 head/to name='Gresham' | head='Mr. Thompson to Mr. Gresham .' | chap=Brazil brazil d.Despatches | pocom=one Walter Quintin Gresham | rule=['Walter Quintin Gresham'] 
## B|1861-1899|one:corroborated(dept-tier2) count=2169
  frus1895p1/d431 1895-09-05 head/from name='Adee' | head='Mr. Adee to Mr. Runyon .' | chap=Germany germany d.Instructions,notesToFM | pocom=one Alvey Augustus Adee | rule=['Alvey Augustus Adee'] 
  frus1894/d392 1894-04-10 head/from name='Uhl' | head='Mr. Uhl to Mr. Gray .' | chap=Mexico mexico d.Instructions,notesToFM | pocom=one Edwin Fuller Uhl | rule=['Edwin Fuller Uhl'] 
  frus1875v02/d348 1874-10-30 head/from name='Cadwalader' | head='No. 640. Mr. Cadwalader to Aristarchi Bey .' | chap=Turkish Empire. turkey d.Instructions,notesToFM | pocom=one John Lambert Cadwalader | rule=['John Lambert Cadwalader'] 
  frus1896/d537 1896-10-14 enclosure/to name='Rockhill' | head='Mr. Olney to Mr. Taylor .' | chap=Spain spain d.Instructions,notesToFM | pocom=one William Woodville Rockhill | rule=['William Woodville Rockhill'] 
  frus1899/d45 1899-01-06 head/from name='Hill' | head='Mr. Hill to Mr. Joostens .' | chap=Belgium belgium d.Instructions,notesToFM | pocom=one David Jayne Hill | rule=['David Jayne Hill'] 
  frus1898/d646 1898-04-27 head/to name='Adee' | head='Mr. Thiébaut to Mr. Adee .' | chap=Spain spain notesFromFM | pocom=one Alvey Augustus Adee | rule=['Alvey Augustus Adee'] 
  frus1892/d521 1892-09-10 head/from name='Adee' | head='Mr. Adee to Señor Bolet Peraza .' | chap=Venezuela venezuela d.Instructions,notesToFM | pocom=one Alvey Augustus Adee | rule=['Alvey Augustus Adee'] 
  frus1894/d342 1894-01-26 head/from name='Uhl' | head='Mr. Uhl to Mr. Smythe .' | chap=Haiti haiti d.Instructions,notesToFM | pocom=one Edwin Fuller Uhl | rule=['Edwin Fuller Uhl'] 
  frus1895p1/d548 1895-02-27 head/from name='Uhl' | head='Mr. Uhl to Sir Julian Pauncefote .' | chap=Great Britain united-kingdom d.Instructions,notesToFM | pocom=one Edwin Fuller Uhl | rule=['Edwin Fuller Uhl'] 
  frus1895p2/d13 1895-05-25 head/from name='Uhl' | head='Mr. Uhl to Mr. Lazo Arriaga .' | chap=Guatemala guatemala d.Instructions,notesToFM | pocom=one Edwin Fuller Uhl | rule=['Edwin Fuller Uhl'] 
## B|1861-1899|one:untestable-uncovered-only count=1060
  frus1894app2/d38 1854-04-04 head/to name='Gregg' | head='Mr. Marcy to Mr. Gregg .' | chap=  d.Instructions,notesToFM | pocom=one David Lawrence Gregg | rule=[] 
  frus1894app1/d281 1894-04-10 head/from name='Baker' | head='Mr. Baker to Mr. Gresham .' | chap=  d.Despatches | pocom=one Lewis Baker | rule=[] 
  frus1872p2v1/d178 1856-05-01 head/from name='Dallas' | head='[544] * Mr. Dallas to Mr. Marcy .' | chap=  d.Despatches | pocom=one George Mifflin Dallas | rule=[] 
  frus1894app2/d202 1893-02-08 head/from name='Stevens' | head='Mr. Stevens to Mr. Foster .' | chap=  d.Despatches | pocom=one John Leavitt Stevens | rule=[] 
  frus1896/d480 1896-01-31 head/from name='Bayard' | head='Mr. Bayard to Mr. Olney .' | chap=  d.Despatches | pocom=one Thomas Francis Bayard | rule=[] 
  frus1894app2/d468 1893-12-18 head/from name='Willis' | head='Mr. Willis to Mr. Gresham .' | chap=  d.Despatches | pocom=one Albert Shelby Willis | rule=[] 
  frus1894app1/d127 1893-11-17 head/to name='Bayard' | head='Mr. Gresham to Mr. Bayard .' | chap=  d.Instructions,notesToFM | pocom=one Thomas Francis Bayard | rule=[] 
  frus1894app1/d265 1894-03-14 head/to name='Baker' | head='Mr. Gresham to Mr. Baker .' | chap=  d.Instructions,notesToFM | pocom=one Lewis Baker | rule=[] 
  frus1894app2/d48 1864-09-16 head/from name='McBride' | head='Mr. McBride to Mr. Seward .' | chap=  d.Despatches | pocom=one James McBride | rule=[] 
  frus1894app2/d96 1889-05-27 head/to name='Merrill' | head='Mr. Blaine to Mr. Merrill .' | chap=  d.Instructions,notesToFM | pocom=one George W. Merrill | rule=[] 
## B|1861-1899|several:->one(chief) count=1488
  frus1880/d177 1880-08-13 enclosure/to name='Seward' | head='No. 177. Mr. Seward to Mr. Evarts .' | chap=China china d.Despatches | pocom=several | rule=['George Frederick Seward'] 
  frus1879/d99 1879-03-31 enclosure/to name='Osborn' | head='No. 86. Mr. Osborn to Mr. Evarts .' | chap=Chili. chile d.Despatches | pocom=several | rule=['Thomas Andrew Osborn'] 
  frus1865p2/d498 1865-09-23 head/to name='Mr. Clay' | head='Mr. Seward to Mr. Clay' | chap=Russia. russia d.Instructions,notesToFM | pocom=several | rule=['Cassius Marcellus Clay'] 
  frus1893/d125 1894-01-29 head/from name='Thompson' | head='Mr. Thompson to Mr. Gresham .' | chap=Brazil brazil d.Despatches | pocom=several | rule=['Thomas Larkin Thompson'] 
  frus1885/d439 1885-04-04 head/from name='S. L. Phelps' | head='Mr. S. L. Phelps to Mr. Bayard .' | chap=Peru peru d.Despatches | pocom=several | rule=['Seth Ledyard Phelps'] 
  frus1891/d24 1891-10-05 head/to name='Grant' | head='Mr. Wharton to Mr. Grant .' | chap=Austria-Hungary austria d.Instructions,notesToFM | pocom=several | rule=['Frederick Dent Grant'] 
  frus1894/d757 1894-10-17 head/from name='Terrell' | head='Mr. Terrell to Mr. Gresham .' | chap=Turkey turkey d.Despatches | pocom=several | rule=['Alexander Watkins Terrell'] 
  frus1890/d211 1890-01-10 head/to name='Phelps' | head='Mr. Blaine to Mr. Phelps .' | chap=Germany. germany d.Instructions,notesToFM | pocom=several | rule=['William Walter Phelps'] 
  frus1878/d79 1878-10-24 head/from name='Osborn' | head='No. 74. Mr. Osborn to Mr. Evarts .' | chap=Chili. chile d.Despatches | pocom=several | rule=['Thomas Andrew Osborn'] 
  frus1879/d27 1879-09-20 head/from name='Osborn' | head='No. 16. Mr. Osborn to Mr. Evarts .' | chap=Correspondence.Argentine Rep argentina d.Despatches | pocom=several | rule=['Thomas Ogden Osborn'] 
## B|1861-1899|several:->one(dept-tier1) count=611
  frus1877/d345 1876-12-08 head/to name='Fish' | head='No. 345. Mr. Farman to Mr. Fish .' | chap=Turkish Empire turkey consularDespatches | pocom=several | rule=['Hamilton Fish'] 
  frus1877/d130 1876-12-06 head/from name='Fish' | head='No. 130. Mr. Fish to Sir Edward Thornton .' | chap=Great Britain united-kingdom d.Instructions,notesToFM | pocom=several | rule=['Hamilton Fish'] 
  frus1876/d79 1876-02-28 head/to name='Fish' | head='No. 78. Mr. Davis to Mr. Fish .' | chap=Germany. germany d.Despatches | pocom=several | rule=['Hamilton Fish'] 
  frus1881/d717 1881-05-06 head/to name='Blaine' | head='No. 713. Mr. Heap to Mr. Blaine .' | chap=Turkey turkey d.Despatches | pocom=several | rule=['James Gillespie Blaine'] 
  frus1881/d239 1881-06-08 head/from name='Blaine' | head='No. 235. Mr. Blaine to Mr. Noyes .' | chap=France france d.Instructions,notesToFM | pocom=several | rule=['James Gillespie Blaine'] 
  frus1881/d543 1881-03-23 head/to name='Blaine' | head='No. 539. Mr. Christiancy to Mr. Blaine .' | chap=Peru peru d.Despatches | pocom=several | rule=['James Gillespie Blaine'] 
  frus1881/d456 1881-06-01 head/from name='Blaine' | head='No. 452. Mr. Blaine to Mr. Morgan .' | chap=Mexico mexico d.Instructions,notesToFM | pocom=several | rule=['James Gillespie Blaine'] 
  frus1877/d23 1877-02-09 head/from name='Fish' | head='No. 23. Mr. Fish to Mr. Beale .' | chap=Austria-Hungary. austria d.Instructions,notesToFM | pocom=several | rule=['Hamilton Fish'] 
  frus1877/d112 1877-02-26 head/to name='Fish' | head='No. 112. Mr. Davis to Mr. Fish .' | chap=Germany germany d.Despatches | pocom=several | rule=['Hamilton Fish'] 
  frus1881/d31 1881-03-19 head/to name='Blaine' | head='No. 31. Mr. Kasson to Mr. Blaine .' | chap=Austria-Hungary austria d.Despatches | pocom=several | rule=['James Gillespie Blaine'] 
## B|1861-1899|several:->one(dept-tier1-over-same-surname-tier2) count=9263
  frus1865p4/d30 1865-07-19 head/to name='Mr. Seward' | head='Señor Ignacio de Avellar Barloza de Silva to Mr. Seward' | chap=Brazil brazil notesFromFM | pocom=several | rule=['William Henry Seward'] 
  frus1865p1/d296 1865-07-28 head/to name='Mr. Seward' | head='Mr. Moran to Mr. Seward' | chap=Great Britain. united-kingdom d.Despatches | pocom=several | rule=['William Henry Seward'] 
  frus1862/d685 1862-04-08 head/from name='Mr. Seward' | head='Mr. Seward to Mr. Thayer .' | chap=Egypt. egypt d.Instructions,notesToFM | pocom=several | rule=['William Henry Seward'] 
  frus1866p3/d33 1866-02-07 head/from name='Mr. Seward' | head='Mr. Seward to Mr. Romero' | chap=Correspondence with the Mexi mexico notesToFM | pocom=several | rule=['William Henry Seward'] 
  frus1868p1/d316 1868-03-04 head/to name='Mr. Seward.' | head='Mr. Van Valkenburgh to Mr. Seward.' | chap=Japan. japan d.Despatches | pocom=several | rule=['William Henry Seward'] 
  frus1867p2/d386 1867-05-30 head/to name='Mr. Seward' | head='Mr. Romero to Mr. Seward' | chap=Correspondence with the Mexi mexico notesFromFM | pocom=several | rule=['William Henry Seward'] 
  frus1864p4/d52 1864-06-27 head/from name='Mr. Seward' | head='Mr. Seward to Mr. Koerner .' | chap=Spain. spain d.Instructions,notesToFM | pocom=several | rule=['William Henry Seward'] 
  frus1865p1/d153 1865-04-04 head/from name='Mr. Seward' | head='Mr. Seward to Mr. Adams' | chap=Great Britain. united-kingdom d.Instructions,notesToFM | pocom=several | rule=['William Henry Seward'] 
  frus1866p1/d43 1866-02-01 head/to name='Mr. Seward' | head='Mr. Adams to Mr. Seward .' | chap=Great Britain. united-kingdom d.Despatches | pocom=several | rule=['William Henry Seward'] 
  frus1866p1/d251 1866-01-12 head/to name='Mr. Seward' | head='Mr. Bigelow to Mr. Seward' | chap=France. france d.Despatches | pocom=several | rule=['William Henry Seward'] 
## B|1861-1899|several:->one(dept-tier2) count=154
  frus1882/d190 1882-08-16 enclosure/to name='Davis' | head='No. 135. Mr. Davis to Mr. Lowell .' | chap=Great Britain. united-kingdom d.Instructions,notesToFM | pocom=several | rule=['John Davis'] 
  frus1879/d355 1879-08-07 head/to name='Seward' | head='No. 326. Mr. Smyth to Mr. Seward .' | chap=Liberia. liberia d.Despatches | pocom=several | rule=['Frederick William Seward'] 
  frus1877app/d14 1877-11-04 head/to name='Seward' | head='No. 14. Mr. Bartlett to Mr. Seward .' | chap=France france consularDespatches | pocom=several | rule=['Frederick William Seward'] 
  frus1883/d557 1883-07-10 head/from name='Davis' | head='No. 558. Mr. Davis to Mr. Wallace .' | chap=Turkey. turkey d.Instructions,notesToFM | pocom=several | rule=['John Davis'] 
  frus1883/d8 1883-01-19 head/from name='Davis' | head='No. 8. Mr. Davis to Mr. Taft .' | chap=Austria-Hungary. austria d.Instructions,notesToFM | pocom=several | rule=['John Davis'] 
  frus1883/d386 1883-01-29 head/from name='Davis' | head='No. 385. Mr. Davis to Mr. Morgan .' | chap=Mexico. mexico d.Instructions,notesToFM | pocom=several | rule=['John Davis'] 
  frus1883/d294 1883-05-10 head/from name='Davis' | head='No. 294. Mr. Davis to Mr. West .' | chap=Great Britain. united-kingdom d.Instructions,notesToFM | pocom=several | rule=['John Davis'] 
  frus1879/d223 1879-07-29 enclosure/to name='Seward' | head='No. 202. Mr. Evarts to Mr. Welsh .' | chap=Great Britain. united-kingdom d.Instructions,notesToFM | pocom=several | rule=['Frederick William Seward'] 
  frus1879/d269 1879-01-24 head/to name='Seward' | head='No. 245. Mr. Langston to Mr. Seward .' | chap=Hayti. haiti d.Despatches | pocom=several | rule=['Frederick William Seward'] 
  frus1882/d192 1882-08-18 head/from name='Davis' | head='No. 137. Mr. Davis to Mr. Lowell .' | chap=Great Britain. united-kingdom d.Instructions,notesToFM | pocom=several | rule=['John Davis'] 
## B|1861-1899|several:zero count=10
  frus1864p3/d186 1846-08-09 head/to name='Mr. Seward' | head='Mr. Dayton to Mr. Seward' | chap=France france d.Despatches | pocom=several | rule=[] 
  frus1865p1/d47 1860-01-09 head/from name='Mr. Seward' | head='Mr. Seward to Mr. Adams' | chap=Great Britain. united-kingdom d.Instructions,notesToFM | pocom=several | rule=[] 
  frus1865p3/d331 1860-07-08 head/to name='Mr. Seward' | head='Mr. McMath to Mr. Seward' | chap=  consularDespatches | pocom=several | rule=[] 
  frus1867p1/d36 1857-02-15 head/from name='Mr. Seward' | head='Mr. Seward to Mr. Adams.' | chap=Great Britain. united-kingdom d.Instructions,notesToFM | pocom=several | rule=[] 
  frus1867p2/d242 1867-01-30 head/from name='Mr. Seward to Mr. Campbell' | head='Mr. Seward to Mr. Campbell' | chap=Mexico. mexico d.Instructions,notesToFM | pocom=several | rule=[] 
  frus1867p2/d258 1867-03-18 head/from name='Mr. Seward to Mr. Campbell,' | head='Mr. Seward to Mr. Campbell,' | chap=Mexico. mexico d.Instructions,notesToFM | pocom=several | rule=[] 
  frus1867p2/d297 1867-06-15 head/to name='Mr. Campbell' | head='Mr. Seward to Mr. Campbell' | chap=Mexico. mexico d.Despatches | pocom=several | rule=[] 
  frus1877/d348 1877-04-03 head/to name='Fish' | head='No. 348. Mr. Farman to Mr. Fish .' | chap=Turkish Empire turkey consularDespatches | pocom=several | rule=[] 
  frus1881/d458 1811-06-16 head/from name='Blaine' | head='No. 454. Mr. Blaine to Mr. Morgan .' | chap=Mexico mexico d.Instructions,notesToFM | pocom=several | rule=[] 
  frus1891/d655 1891-04-22 head/to name='Grant' | head='Consul Corte to Mr. Grant .' | chap=Italy italy notesFromForeignConsuls | pocom=several | rule=[] 
## B|1861-1899|several:zero-uncovered-alternative count=346
  frus1867p2/d287 1867-06-01 head/to name='Mr. Campbell' | head='Mr. Seward to Mr. Campbell' | chap=Mexico. mexico d.Instructions,notesToFM | pocom=several | rule=[] 
