row,era,anchor_volume,anchor_doc,anchor_url,anchor_snippet,neighbor_volume,neighbor_doc,neighbor_url,neighbor_snippet,verdict (good / moderate / garbage),note
11,pre-1900,frus1861,d48,https://history.state.gov/historicaldocuments/frus1861/d48,"Mr. Adams to Mr. Seward . [Extracts] No. 4.] Legation of the United States , London , May 31, 1861 . Sir : * * * * * * * * * * * * I have likewise to acknowledge the reception of a printed circular addressed to my predecessor, Mr. Dallas, and dated the 27th of April, 1861, transmitting the proclamation of the President declaring the blockade of the ports of Virginia and North Carolina. In this connexion it may be as well to call your attention to the manner in which these measures are viewed here, so far as it may be gathered from what is casually dropped by members of Parliament as well as wh",frus1861,d68,https://history.state.gov/historicaldocuments/frus1861/d68,"Mr. Adams to Mr. Seward . [Extract.] No. 29.] Legation of the United States , London , August 16, 1861 . Sir : I have read with great attention the contents of your despatch, No. 42, dated the 21st July, and shall avail myself of the argument upon the next occasion of an interview with Lord Russell. But I have not thought it necessary to solicit one, for the reason that the government here does not appear to contemplate any change of position, so long as the blockade shall be kept up. In the last conference which I had with his lordship, I took occasion towards the close of it to intimate to h",,
12,pre-1900,frus1861,d287,https://history.state.gov/historicaldocuments/frus1861/d287,"Mr. Seward to Mr. Haldeman . [Extract.] No. 7.] Department of State , Washington , September 7, 1861 . Sir : * * * * * * * * * * * * * * * * * * Your communications concerning internal questions in Sweden are appreciated, and we hope that the succession to the throne may be settled in a manner satisfactory to the government, and conducive to the welfare of the enlightened people whom it so deeply concerns. We have already forgotten the reverse of our arms at Bull Run, which affected you so deeply, and the prospect of the restoration of the authority of the Union is entirely satisfactory. Our v",frus1861,d282,https://history.state.gov/historicaldocuments/frus1861/d282,"Mr. Seward to Mr. Haldeman . No. 3.] Department of State , Washington , July 25, 1861 . Sir : Your despatch of June 26 (No. 2) has been received. So much of it as relates to the preservation of the archives, and other matters of subordinate interest, will be noticed in a distinct paper. The President is gratified by the account of the friendly reception you have received from his Majesty, and directs me to congratulate you upon the good auspices under which your mission is commenced. You will lose no good opportunity for assuring the government of Sweden that the United States entertain the hi",,
13,pre-1900,frus1861,d229,https://history.state.gov/historicaldocuments/frus1861/d229,"Mr. Seward to Mr. Fogg . No. 8.] Department of State , Washington , August 6, 1861 . Sir : Your despatch No. 1, dated 8th July last, has been received. Your account of your interview with Mr. Fay, and of the circumstances of the audience granted you by the government of the republic of Switzerland, is interesting and entirely satisfactory. The sentiments you expressed on that occasion are approved by the President of the United States, and the generous reply made to you by the president of the federal council of Switzerland, as narrated to us in the last despatch of Mr. Fay, has been received ",frus1861,d228,https://history.state.gov/historicaldocuments/frus1861/d228,"Mr. Seward to Mr. Fogg . [Extract.] No. 6.] Department of State , Washington , July 29, 1861 . Sir : Mr. Fay’s despatch of July 2 (No. 431) has been duly received. The account he has given us of his retirement and your entrance upon the mission, as also the sentiments expressed by him and by yourself to the president of the republic, and the reply of that eminent magistrate, are exceedingly interesting. The President of the United States appreciates very highly the liberal and friendly feelings of the Swiss republic, and derives from them new motives to maintain relations so auspiciously estab",,
14,pre-1900,frus1861,d123,https://history.state.gov/historicaldocuments/frus1861/d123,"Mr. Dayton to Mr. Seward . [Extracts.] No. 5.] Paris , May 22, 1861 . Sir : I have the pleasure to announce to you my arrival in this city on Saturday, May 11. On Monday, application was made through our legation for an audience with Mr. Thouvenel, minister of foreign affairs, which was granted for the 16th instant, on which day I was duly presented to him by Mr. Walsh, of the American legation. Mr. Thouvenel, in the course of the conversation, took occasion to say that he deeply regretted the condition of things in the United States, and that in this expression of feeling he represented the v",frus1861,d121,https://history.state.gov/historicaldocuments/frus1861/d121,"Mr. Faulkner to Mr. Seward . [Extract.] No. 119.] Legation of the United States , Paris , April 15, 1861 . Sir : I called to-day upon Mr. Thouvenel at the ministry of foreign affairs, and was promptly admitted to an interview. Agreeably to your request, I handed to him a copy of the inaugural address of President Lincoln, and added that I was instructed by you to say to him that it embraced the views of the President of the United States upon the difficulties which now disturbed the harmony of the American Union, and also an exposition of the general policy which it was the purpose of the gove",,
15,pre-1900,frus1861,d181,https://history.state.gov/historicaldocuments/frus1861/d181,"Mr. Schurz to Mr. Seward . [Extract.] No. 27.] Legation of the United States , Madrid , October 9, 1861 . Sir : * * * * * * * * * After having closed our conversation on the Mexican business, I called Mr. Calderon’s attention to a report going through the American and European press that Spain was about to recognize the independence of the Southern Confederacy and to break up the blockade of our southern ports. I added that it was impossible for me to believe that Spain could entertain any such intentions, and inquired whether anything had occurred to give rise to such a rumor. Mr. Calderon re",frus1861,d183,https://history.state.gov/historicaldocuments/frus1861/d183,"Mr. Schurz to Mr. Seward . No. 33.] Legation of the United States , Madrid , October 20, 1861 . Sir : Last night I called upon Mr. Calderon, for the purpose of reading to him the memorandum of our conversation of the 16th instant. After having suggested some additions, which were forthwith incorporated into the report, he approved it as correct. He informed me that he had meanwhile received an official communication from the captain general of Cuba on the occurrences which had occasioned your despatch No. 30, and that he would read it to me at our next interview. He wanted to prove to me that ",,
16,pre-1900,frus1861,d58,https://history.state.gov/historicaldocuments/frus1861/d58,"Mr. Seward to Mr. Adams . No. 32.] Department of State , Washington , July 1, 1861 . Sir : Your despatch No. 8 (dated June 14) has been received. My despatch, No. 21, of 19th ultimo, has anticipated the matter you have discussed in the paper before me. It remains only to say that while we would prefer to add Mr. Marcy’s amendment, exempting private property of non-belligerents from confiscation in maritime war, and desire you to stipulate to that effect if you can, yet we are, nevertheless, ready and willing to accede to the declaration of the congress of Paris, if the amendment cannot be obta",frus1861,d54,https://history.state.gov/historicaldocuments/frus1861/d54,"Mr. Adams to Mr. Seward . [Extracts.] No. 8.] Legation of the United States , London , June 14, 1861 . Sir : I have to acknowledge the reception of your despatches No. 10, dated the 21st of May, and No. 11, dated on the 24th, with a copy of a letter from Mr. O. Vandenburgh, and also a printed circular from the department of the 20th of May, relating to purchases made here of articles contraband of war. The intelligence of the feeling expressed in America upon the reception of the Queen’s proclamation was fully expected by me, so that it excited no surprise, and much of the course of your argum",,
17,pre-1900,frus1861,d213,https://history.state.gov/historicaldocuments/frus1861/d213,"Mr. Seward to Mr. Marsh . No. 5.] Department of State , Washington , June 21, 1861 . Sir : Your despatch No. 2, written at Paris May 29, has been received. The government not only accepts your explanation of the delay you have made on your way to your post of duty, but also appreciates and thanks you for the faithful service you have rendered to the country in an important crisis by your labors to correct an erroneous public opinion in Europe through the use of the press in London. We hear with sincere regret and sorrow of the death of Count Cavour, a statesman honored none the less by the peo",frus1861,d217,https://history.state.gov/historicaldocuments/frus1861/d217,"Mr. Seward to Mr. Marsh . No. 8.] Department of State , Washington , July 23, 1861 . Sir : Your despatch of June 27, No. 3, has been received. The account it gives us of your reception and of the sentiments and feelings of the Italian government in regard to the United States is very satisfactory to the President. We are pleased with your prompt and vigilant attention to the matters affecting the public interest, especially the supposed project of fitting out hostile armaments at Genoa. Renewing my best wishes for the prosperity of Italy under the new ministry so happily inaugurated, I am, sir",,
18,pre-1900,frus1861,d52,https://history.state.gov/historicaldocuments/frus1861/d52,"Mr. Seward to Mr. Adams . No. 15.] Department of State , Washington , June 8, 1861 . Sir : I have the pleasure of acknowledging the receipt of your despatch of May 21, (No. 2,) which contains a report of the conversation which you had held with Lord John Russell on the 18th day of that month. This government insists, as all the world might have known that it must and would, under all circumstances, insist, on the integrity of the Union, as the chief element of national life. Since, after trials of every form of forbearance and conciliation, it has been rendered certain and apparent that this p",frus1861,d61,https://history.state.gov/historicaldocuments/frus1861/d61,"Mr. Seward to Mr. Adams . No. 42.] Department of State , Washington , July 21, 1861 . Sir : Your despatch of June 28, No. 10, has been received. I have already, in a previous communication, informed you that this government has not been disturbed by the action of the British authorities in sending three regiments into Canada, nor by the announcement of the coming of British armed vessels into American waters. These movements are certainly not very formidable in their proportions; and we willingly accept the explanation that they proceed from merely prudential motives. Doubtless it had been bet",,
19,pre-1900,frus1861,d268,https://history.state.gov/historicaldocuments/frus1861/d268,"Mr. Seward to Mr. Pike . No. 32.] Department of State , Washington , November 11, 1861 . Sir : Your despatch of October 16 (No. 23) has been received. It contains the reply of Mr. de Zuylen to the note you had addressed to him on the subject of the “Sumter” at Paramaribo. In another paper I have already communicated the President’s views of the disposition of that subject made by the government of the Netherlands, so that nothing remains to be said on the subject which you have had occasion to discuss in the despatch now before me. I am, sir, your obedient servant, WILLIAM H. SEWARD.",frus1861,d264,https://history.state.gov/historicaldocuments/frus1861/d264,"Mr. Seward to Mr. Pike . No. 28.] Department of State , Washington , October 30, 1861 . Sir : Your despatch of October 9 (No. 20) has been received. We wait with much interest the result of your application to the government of the Netherlands for explanations of the hospitalities extended by its colonial authorities to privateers. I am, sir, your obedient servant, WILLIAM H. SEWARD. James S. Pike , Esq., &amp;c., &amp;c., &amp;c.",,
20,pre-1900,frus1861,d90,https://history.state.gov/historicaldocuments/frus1861/d90,"Mr. Adams to Mr. Seward . No. 58.] Legation of the United States , London , October 11, 1861 . Sir : I have the honor to enclose a copy of Lord Russell’s note to me of the 4th instant, in reply to my representation of the conduct of the authorities of the island of Trinidad, made under instructions from the department. It will appear from this that the governor of Trinidad, by hoisting the British flag on the government flag-staff, probably desired to signify to the officers of the Sumter, on their arrival, the neutral character of the island, but that he in the meantime forgot that the act is",frus1861,d89,https://history.state.gov/historicaldocuments/frus1861/d89,"Mr. Adams to Mr. Seward . [Extract.] No. 53.] Legation of the United States , London , October 4, 1861 . Sir : I have to acknowledge the reception of despatches from the department, numbered from 85 to 89, both inclusive. The despatch, No. 85, dated the 10th of September, like its immediate predecessor, No. 84, of the same date, though received here a week earlier, relates to cases of violation of neutrality in the British islands in the West Indies. I have now the honor to forward copies of two notes addressed by me to Lord Russell, one of the 30th of September, and the other of the following",,
21,pre-1900,frus1861,d299,https://history.state.gov/historicaldocuments/frus1861/d299,"Mr. Crosby to Mr. Seward . [Extract.] No. 1.] Legation of the United States , Guatemala , June 1, 1861 . Sir : * * * * * * * * * His excellency the President of Guatemala and his ministers, as well as the other officers and gentlemen of the government and country, all express their great friendship for the government and people of the United States, and especially their fervent hope that the present administration might successfully suppress, the disturbances in portions of the southern States, and maintain the Union in all its integrity. * * * * * * * * * * I have the honor, &amp;c., E. O. CR",frus1861,d38,https://history.state.gov/historicaldocuments/frus1861/d38,"Mr. Corwin to Mr. Seward . [Extracts.] No. 2. Legation of the United States , Mexico , June 29, 1861 . Sir : * * * * * * * * The present time is most propitious for securing the advantages and preventing the evils which I have suggested. The government here feels the strongest sympathy with the United States. * * * * * * * * It has been my constant endeavor since my arrival here to possess the Mexican mind of the true causes of our difficulties, and thus enable them to estimate the danger to this republic which will result from any unfavorable termination of them. I am quite sure that whilst t",,
22,pre-1900,frus1861,d280,https://history.state.gov/historicaldocuments/frus1861/d280,"Mr. Haldeman to Mr. Seward . [Extract.] No. 3.] Legation of the United States , Stockholm , July 4, 1861 . Sir : I have the honor, in reply to your circular of May 20, to inform you that I am almost confident no effort or attempt to purchase articles contraband of war, or to fit out vessels in any port of Sweden, under letters of marque, need be apprehended. The public voice of this nation, represented by a free press, is clearly and emphatically in favor of my government, and view secession as a causeless rebellion, which ought to be suppressed by the strong arm of military law. Should, contr",frus1861,d279,https://history.state.gov/historicaldocuments/frus1861/d279,"Mr. Haldeman to Mr. Seward . [Extract.] No. 1.] Legation of the United States , Stockholm , June 14, 1861 . Sir : * * * * * * * * Yesterday I called, by appointment, upon Count Manderstrom, minister of foreign affairs. Count M., in behalf of his government, welcomed me most cordially to Sweden as the representative of the United States of America. Count Manderstrom informed me of the absence of his Majesty in Norway, whose return was daily expected, and that an early day would be fixed for the audience to present my letter of credence. During the interview he referred to the condition of affai",,
23,pre-1900,frus1861,d190,https://history.state.gov/historicaldocuments/frus1861/d190,"Mr. Stockton to Mr. Seward . Washington , September 14, 1861 . Sir : I have the honor to inform you that I left my post of duty on my return home on the 6th day of June last. But before doing so, according to the tenor of my despatch, (No. 48,) I communicated the contents of the instructions of the department to Mr. King (No. 2) to the government of his holiness. I translated all those points of the despatch which I thought necessary into Italian, and left it with his eminence as a memoranda. I informed his eminence, the secretary of state, that although the despatch was addressed to my succes",frus1861,d189,https://history.state.gov/historicaldocuments/frus1861/d189,"Mr. Seward to Mr. Stockton . No. 13.] Department of State , Washington , April 30, 1861 . Sir : An instruction, numbered 2, and dated the 29th instant, has been addressed to your successor, Mr. King, of which, as it relates to a subject of present moment, I have deemed it expedient to send you a transcript, which you will find enclosed. It is thought desirable that the views therein expressed should be communicated to the Papal government without delay. I am, sir, your obedient servant, WILLIAM H. SEWARD. John P. Stockton , Esq., &amp;c., &amp;c., Rome .",,
24,pre-1900,frus1861,d19,https://history.state.gov/historicaldocuments/frus1861/d19,"Mr. Seward to Mr. Judd . No. 16.] Department of State , Washington , October 21, 1861 . Sir : Your despatch of September 24 (No. 8) has been received. It treats of many matters interesting, though not of chief importance. Your proceedings in regard to them are approved. Disunion, by surprise and impetuous passion, took the first successes, and profited by them to make public opinion in Europe. Union comes forward more slowly, but with greater and more enduring vigor. This nation, like every other, in the present as in all other cases, stands by its own strength. Other powers will respect it so",frus1861,d85,https://history.state.gov/historicaldocuments/frus1861/d85,"Mr. Seward to Mr. Adams . [Confidential.] No. 95.] Department of State , Washington , September 25, 1861 . Sir : Your despatch of September 7 (No. 39) has just been received. Your review of the correspondence between us and the British government since you entered upon your mission is quite satisfactory, and we have every reason to be content with the details as with the results. The time which has elapsed since the insurgents made their first unnatural appeal to the sympathies and aid of foreign powers for the overthrow of our government has been sufficient to draw out all their strength and ",,
25,pre-1900,frus1861,d183,https://history.state.gov/historicaldocuments/frus1861/d183,"Mr. Schurz to Mr. Seward . No. 33.] Legation of the United States , Madrid , October 20, 1861 . Sir : Last night I called upon Mr. Calderon, for the purpose of reading to him the memorandum of our conversation of the 16th instant. After having suggested some additions, which were forthwith incorporated into the report, he approved it as correct. He informed me that he had meanwhile received an official communication from the captain general of Cuba on the occurrences which had occasioned your despatch No. 30, and that he would read it to me at our next interview. He wanted to prove to me that ",frus1861,d181,https://history.state.gov/historicaldocuments/frus1861/d181,"Mr. Schurz to Mr. Seward . [Extract.] No. 27.] Legation of the United States , Madrid , October 9, 1861 . Sir : * * * * * * * * * After having closed our conversation on the Mexican business, I called Mr. Calderon’s attention to a report going through the American and European press that Spain was about to recognize the independence of the Southern Confederacy and to break up the blockade of our southern ports. I added that it was impossible for me to believe that Spain could entertain any such intentions, and inquired whether anything had occurred to give rise to such a rumor. Mr. Calderon re",,
26,pre-1900,frus1861,d77,https://history.state.gov/historicaldocuments/frus1861/d77,"Mr. Adams to Mr. Seward . [Extracts.] No. 39.] Legation of the United States , London , September 7, 1861 . Sir : I have the honor to acknowledge the reception of despatches from the department, numbered from 61 to 67, both inclusive. Since the date of your No. 61, of the 17th of August, you will have learned ere this that the enigmatical extract from Lord Russell’s note to me, of which you instructed me to ask an explanation, has taken a very distinct and unequivocal shape, superseding all necessity for further inquiry. I may take occasion to remark upon the similarity of some of the reasonin",frus1861,d74,https://history.state.gov/historicaldocuments/frus1861/d74,"Mr. Adams to Mr. Seward . No. 34.] Legation of the United States , London , August 30, 1861 . Sir : It is not without regret that I am compelled to announce the failure of the negotiation which I am led, by the tenor of your despatches, Nos. 55 and 58, to infer you considered almost sure to succeed. I have now the honor to transmit the copy of a note addressed by me to Lord Russell on the the 23d instant, assigning the reasons why I felt it my duty to take the responsibility of declining to fix a day for signing the convention agreed upon between us, burdened, as it was to be, with a contempor",,
27,pre-1900,frus1861,d42,https://history.state.gov/historicaldocuments/frus1861/d42,"Mr. Dallas to Mr. Seward . No. 330.] Legation of the United States , London , April 9, 1861 . Sir : Referring to my despatch of the 5th instant, (No. 329,) I have now the honor to state that Lord John Russell accorded me an interview at the foreign office yesterday, and enabled me to submit fully to his consideration the representations of your circular, with the inaugural address of the President. We conversed for some time on the question of recognizing the alleged southern confederacy, of which no representative has yet appeared, and may not appear until the end of the month. His lordship a",frus1861,d44,https://history.state.gov/historicaldocuments/frus1861/d44,"Mr. Dallas to Mr. Seward . No. 333.] Legation of the United States , London , May 2, 1861 . Sir : In my No. 329 I mentioned having received your Nos. 306 and 307, and “a circular of the 9th of March, 1861.” As I have got no despatch from you, numbered 308, it is probable that this “circular” was considered at the department as representing that number in the series. I have now to acknowledge your several despatches, numbered, respectively, 309, 310, 311, and 312, whose contents have had my careful and prompt attention. You have doubtless noticed that the motion of Mr. Gregory, in the House of ",,
28,pre-1900,frus1861,d78,https://history.state.gov/historicaldocuments/frus1861/d78,"Mr. Adams to Mr. Seward . No. 41.] Legation of the United States , London , September 9, 1861 . Sir : I have the honor to acknowledge the reception at the hands of your messenger, Captain Schultz, of a bag purporting to contain public despatches from Mr. Robert Bunch, the consul at Charleston, to Lord Russell, the head of the foreign office in London. In conformity with the instructions contained in your No. 63, dated the 17th of August, I immediately addressed a note to Lord Russull, explanatory of the reasons why such a bag was received through this channel, a copy of which is herewith trans",frus1861,d70,https://history.state.gov/historicaldocuments/frus1861/d70,"Mr. Seward to Mr. Adams . No. 63.] Department of State , Washington , August 17, 1861 . Sir : Alexander H. Schultz, a special messenger, will deliver to you this despatch, together with a bag containing papers addressed to Lord John Russell. On the 5th instant I was advised by a telegram from Cincinnati that Robert Mure, of Charleston, was on his way to New York to embark at that port for England, and that he was a bearer of despatches from the usurping insurrectionary authorities of Richmond to Earl Russell. Other information bore that he was a bearer of despatches from the same authorities t",,
